Title,Source,URL
A Review on Research and Evaluation Methods for Investigating Self-Transcendence,PubMed,https://pmc.ncbi.nlm.nih.gov/articles/PMC7701337/
Association between psychological resilience and all-cause mortality in the Health and Retirement Study,PubMed,https://pubmed.ncbi.nlm.nih.gov/39227169/
Gerotranscendence: The contemplative dimension of aging,ScienceDirect,https://www.sciencedirect.com/science/article/abs/pii/S0890406597900189
How to Promote Gerotranscendence in Older Adults? A Scoping Review of Interventions,PubMed,https://pmc.ncbi.nlm.nih.gov/articles/PMC10466938/
Chapter 9: Self-Transcendence: A Salutogenic Process for Well-Being,NIH/NLM/NCBI - Books,"https://www.ncbi.nlm.nih.gov/books/NBK585654/#:~:text=According%20to%20Reed's%20(e.g.%2C%20%5B,perspectives%20that%20enhance%20awareness%20of"
Self-transcendence: conceptualization and measurement,PubMed,https://pubmed.ncbi.nlm.nih.gov/15801386/
Self-Transcendence As A Human Phenomenon ,Sage Journals,https://journals.sagepub.com/doi/10.1177/002216786600600201
The self-transcendence scale: an investigation of the factor structure among nursing home patients,PubMed,https://pubmed.ncbi.nlm.nih.gov/22202231/
Self-transcendence and life stories of humanistic growth among late-midlife adults,PubMed,https://pubmed.ncbi.nlm.nih.gov/32779766/
Ten-Year Course of Cosmic Transcendence in Older Adults in the Netherlands,PubMed,https://pubmed.ncbi.nlm.nih.gov/27694438/
The Epidemiology of Social Isolation: National Health and Aging Trends Study,PubMed,https://pubmed.ncbi.nlm.nih.gov/29590462/
The Varieties of Self-Transcendent Experience,Sage Journals,https://journals.sagepub.com/doi/10.1037/gpr0000102
Toward a nursing theory of self-transcendence: deductive reformulation using developmental theories,PubMed,https://pubmed.ncbi.nlm.nih.gov/2059006/
Self-Transcendence: Scale and Theory,Nursology,https://nursology.net/wp-content/uploads/2018/10/sts-2018.pdf
