Title,Source,URL
"A 6-Item Scale for Overall, Emotional, and Social Loneliness Confirmatory Tests on Survey Data",Sage Journals,https://journals.sagepub.com/doi/10.1177/0164027506289723
A Measure of Subjective Happiness: Preliminary Reliability and Construct Validation,Springer Nature,https://link.springer.com/article/10.1023/A:1006824100041
A very brief measure of the Big-Five personality domains,ScienceDirect,https://www.sciencedirect.com/science/article/abs/pii/S0092656603000461
How We Experience Being Alone: Age Differences in Affective and Biological Correlates of Momentary Solitude,PubMed,https://pubmed.ncbi.nlm.nih.gov/27760422/
Alone with my phone? Examining beliefs about solitude and technology use in adolescence,PubMed,https://pubmed.ncbi.nlm.nih.gov/36397736/
Alternating time spent on social interactions and solitude in healthy older adults,PubMed,https://pubmed.ncbi.nlm.nih.gov/35957493/
"Are you alone? Measuring solitude in childhood, adolescence, and emerging adulthood",PubMed,https://pmc.ncbi.nlm.nih.gov/articles/PMC10156970/
Association Between Social Isolation and Smoking in Japan and England,PubMed,https://pubmed.ncbi.nlm.nih.gov/32779628/
Better Off Alone: Daily Solitude Is Associated With Lower Negative Affect in More Conflictual Social Networks,PubMed,https://pubmed.ncbi.nlm.nih.gov/29924314/
The Convoy Model and Later-Life Family Relationships,PubMed,https://pubmed.ncbi.nlm.nih.gov/32536976/
Deconstructing solitude and its links to well‐being,APA PsycNet,https://psycnet.apa.org/record/2025-43495-001
Developmental resources and depression in the elderly,PubMed,https://pubmed.ncbi.nlm.nih.gov/3640355/
Experiences of solitude in adulthood and old age: The role of autonomy,PubMed,https://pubmed.ncbi.nlm.nih.gov/36397735/
Friends Also Matter: Examining Friendship Adjustment Indices as Moderators of Anxious-Withdrawal and Trajectories of Change in Psychological Maladjustment,PubMed,https://pmc.ncbi.nlm.nih.gov/articles/PMC5519431/
How people think about being alone shapes their experience of loneliness,PubMed,https://pubmed.ncbi.nlm.nih.gov/39939585/
Individual Differences in Preference for Solitude,ScienceDirect,https://www.sciencedirect.com/science/article/abs/pii/S0092656685710057
"Meaning making and psychological adjustment following cancer: the mediating roles of growth, life meaning, and restored just-world beliefs",PubMed,https://pubmed.ncbi.nlm.nih.gov/18837603/
"Positive Solitude Scale: Theoretical Background, Development and Validation",Springer Nature,https://link.springer.com/article/10.1007/s10902-021-00367-4
"Seeking more solitude: Conceptualization, assessment, and implications of aloneliness",ScienceDirect,https://www.sciencedirect.com/science/article/abs/pii/S0191886919303101
Social Partners and Momentary Affect in the Oldest-Old: The Presence of Others Benefits Affect Depending on Who We Are and Who We Are With,PubMed,https://pmc.ncbi.nlm.nih.gov/articles/PMC4854631/
"Social Relations and Technology: Continuity, Context, and Change",PubMed,https://pubmed.ncbi.nlm.nih.gov/29795794/
Social Withdrawal and Shyness,,https://www.blackwellpublishing.co.uk/content/BPL_Images/Content_Store/WWW_Content/9780631217527/017.pdf
Social Withdrawal in Childhood,PubMed,https://pmc.ncbi.nlm.nih.gov/articles/PMC3800115/
Socioemotional Selectivity Theory: The Role of Perceived Endings in Human Motivation,PubMed,https://pubmed.ncbi.nlm.nih.gov/34718558/
Solitude as an Approach to Affective Self-Regulation,PubMed,https://pubmed.ncbi.nlm.nih.gov/29072531/
Solitude can be good-If you see it as such: Reappraisal helps lonely people experience solitude more positively,PubMed,https://pubmed.ncbi.nlm.nih.gov/37724779/
The Convoy Model: Explaining Social Relations From a Multidisciplinary Perspective,PubMed,https://pmc.ncbi.nlm.nih.gov/articles/PMC3894851/
Trajectories of Social Withdrawal from Middle Childhood to Early Adolescence,PubMed,https://pmc.ncbi.nlm.nih.gov/articles/PMC3674845/
Social relationship quality buffers negative affective correlates of everyday solitude in an adult lifespan and an older adult sample,PubMed,https://pubmed.ncbi.nlm.nih.gov/30091627/
"Social isolation, loneliness, and solitude in older adulthood",APA PsycNet,https://psycnet.apa.org/record/2021-48395-013
